pytesseract_predicted_result,paddleocr_ocr_predicted_result,trocr_predicted_result,filename
558,,558,2024-09-06-1402-OUTSIDE-14_crop_18.jpg
86,,86,2024-09-06-1402-OUTSIDE-14_crop_19.jpg
5,355,355,2024-09-06-1402-OUTSIDE-14_crop_21.jpg
,,684,2024-09-06-1402-OUTSIDE-14_crop_22.jpg
3344,334,334,2024-09-06-1402-OUTSIDE-14_crop_23.jpg
944,,344,2024-09-06-1402-OUTSIDE-14_crop_24.jpg
86,86,86,2024-09-06-1402-OUTSIDE-14_crop_25.jpg
132,182,182,2024-09-06-1402-OUTSIDE-2 (2)_crop_2.jpg
122,182,182,2024-09-06-1402-OUTSIDE-2 (2)_crop_3.jpg
525,525,525,2024-09-06-1402-OUTSIDE-2 (2)_crop_4.jpg
,422,422,2024-09-06-1402-OUTSIDE-2_crop_2.jpg
6,589,589,2024-09-06-1402-OUTSIDE-2_crop_3.jpg
585,58,589,2024-09-06-1402-OUTSIDE-2_crop_4.jpg
422,422,422,2024-09-06-1402-OUTSIDE-2_crop_5.jpg
587,587,587,2024-09-06-1402-OUTSIDE-3_crop_3.jpg
757,587,587,2024-09-06-1402-OUTSIDE-3_crop_4.jpg
,,162,2024-09-06-1402-OUTSIDE-3_crop_5.jpg
142,,12,2024-09-06-1402-OUTSIDE-3_crop_6.jpg
7,,172,2024-09-06-1402-OUTSIDE-3_crop_7.jpg
,,2,2024-09-06-1402-OUTSIDE-3_crop_8.jpg
4,,100,2024-09-06-1402-OUTSIDE-3_crop_9.jpg
2,,12,2024-09-06-1402-OUTSIDE-4 (2)_crop_10.jpg
,,626,2024-09-06-1402-OUTSIDE-4 (2)_crop_4.jpg
4,,01,2024-09-06-1402-OUTSIDE-4 (2)_crop_5.jpg
,0,01,2024-09-06-1402-OUTSIDE-4 (2)_crop_6.jpg
,6,640,2024-09-06-1402-OUTSIDE-4 (2)_crop_7.jpg
